reporting_period,firm_name,firm_group,joint_reporting,product_group,complaints_opened,complaints_closed,pct_closed_3days,pct_closed_3to8weeks,uphold_rate,denominator,source_file
2024H1,Barclays Bank UK PLC,BARCLAYS PLC,yes,Insurance & pure protection,245.0,282.0,0.4007,0.4255,0.2021,1.11,firm-level-complaints-data-2024-h1.xlsx
2024H1,Barclays Bank UK PLC,BARCLAYS PLC,yes,Investments,46.0,74.0,0.0405,0.3649,0.4054,0.0,firm-level-complaints-data-2024-h1.xlsx
2024H1,Bisl Limited,MARKERSTUDY GROUP,no,Insurance & pure protection,11260.0,,0.619,0.3785,0.4096,4.5,firm-level-complaints-data-2024-h1.xlsx
2024H1,Black Horse Limited,LLOYDS BANKING GROUP PLC,no,Home finance,374.0,2.0,0.0,1.0,0.0,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Black Horse Limited,LLOYDS BANKING GROUP PLC,no,Insurance & pure protection,38.0,36.0,0.5833,0.3889,0.0,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Brightside Insurance Services Limited,MARKERSTUDY GROUP,no,Insurance & pure protection,723.0,,0.7237,0.2709,0.3912,3.15,firm-level-complaints-data-2024-h1.xlsx
2024H1,British Gas Services Limited,CENTRICA PLC,yes,Insurance & pure protection,55282.0,55872.0,0.755,0.2067,0.9636,9.94,firm-level-complaints-data-2024-h1.xlsx
2024H1,Bspoke Underwriting LTD,NO GROUP,no,Insurance & pure protection,526.0,520.0,0.2135,0.775,0.5346,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Bupa Insurance Services Limited,BUPA GROUP,yes,Insurance & pure protection,33137.0,34166.0,0.4765,0.5158,0.5663,10.08,firm-level-complaints-data-2024-h1.xlsx
2024H1,Cabot Credit Management Group Limited,NO GROUP,no,Home finance,24.0,26.0,0.0769,0.7692,0.3846,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Call Assist LTD,CALL ASSIST LIMITED,yes,Insurance & pure protection,852.0,909.0,0.1936,0.8064,0.4103,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Canada Life Limited,NO GROUP,yes,Decumulation & pensions,886.0,1232.0,0.0682,0.6721,0.9481,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Canada Life Limited,NO GROUP,yes,Insurance & pure protection,156.0,147.0,0.3333,0.619,0.551,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Canada Life Limited,NO GROUP,yes,Investments,65.0,64.0,0.0938,0.7969,0.6563,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Capital One (europe) PLC,CAPITAL ONE FINANCIAL CORPORATION,no,Banking and credit cards,24807.0,24932.0,0.1827,0.8019,0.3477,5.01,firm-level-complaints-data-2024-h1.xlsx
2024H1,Capital One (europe) PLC,CAPITAL ONE FINANCIAL CORPORATION,no,Insurance & pure protection,12.0,14.0,0.1429,0.7143,0.3571,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Car Care Plan Limited,NO GROUP,yes,Insurance & pure protection,978.0,980.0,0.3684,0.6255,0.2786,1.04,firm-level-complaints-data-2024-h1.xlsx
2024H1,Carfinance247 Limited,NO GROUP,no,Insurance & pure protection,146.0,140.0,0.0,1.0,0.3929,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Carole Nash Insurance Consultants LTD,MARKERSTUDY GROUP,no,Insurance & pure protection,4413.0,,0.6848,0.313,0.4707,8.31,firm-level-complaints-data-2024-h1.xlsx
2024H1,Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,no,Banking and credit cards,772.0,767.0,0.3729,0.6271,0.4811,2.39,firm-level-complaints-data-2024-h1.xlsx
2024H1,Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,no,Home finance,1420.0,1495.0,0.208,0.7552,0.3906,18.54,firm-level-complaints-data-2024-h1.xlsx
2024H1,Chetwood Financial Limited,NO GROUP,no,Banking and credit cards,354.0,334.0,0.0299,0.9701,0.1916,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Chubb European Group Se,CHUBB LIMITED,yes,Insurance & pure protection,4575.0,4476.0,0.0827,0.9097,0.6562,0.71,firm-level-complaints-data-2024-h1.xlsx
2024H1,Citibank UK Limited,CITI GROUP,no,Banking and credit cards,1808.0,1807.0,0.6342,0.3658,0.1085,55.79,firm-level-complaints-data-2024-h1.xlsx
2024H1,Citibank UK Limited,CITI GROUP,no,Investments,34.0,39.0,0.1795,0.8205,0.4103,4.89,firm-level-complaints-data-2024-h1.xlsx
2024H1,Clearbank Limited,NO GROUP,no,Banking and credit cards,3239.0,3176.0,0.4424,0.5551,0.5186,2.41,firm-level-complaints-data-2024-h1.xlsx
2024H1,Close Brothers Limited,CLOSE BROTHERS GROUP PLC,no,Banking and credit cards,347.0,349.0,0.2006,0.7994,0.596,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Close Brothers Limited,CLOSE BROTHERS GROUP PLC,no,Insurance & pure protection,1.0,1.0,0.0,0.0,1.0,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Clydesdale Bank PLC,VIRGIN MONEY UK PLC,yes,Banking and credit cards,32221.0,31343.0,0.4278,0.5413,0.7194,3.84,firm-level-complaints-data-2024-h1.xlsx
2024H1,Clydesdale Bank PLC,VIRGIN MONEY UK PLC,yes,Decumulation & pensions,2.0,2.0,0.5,0.5,1.0,0.0,firm-level-complaints-data-2024-h1.xlsx
2024H1,Clydesdale Bank PLC,VIRGIN MONEY UK PLC,yes,Home finance,2126.0,2020.0,0.1342,0.801,0.6,6.31,firm-level-complaints-data-2024-h1.xlsx
2024H1,Clydesdale Bank PLC,VIRGIN MONEY UK PLC,yes,Insurance & pure protection,16.0,15.0,0.1333,0.5333,0.2667,0.07,firm-level-complaints-data-2024-h1.xlsx
2024H1,Clydesdale Bank PLC,VIRGIN MONEY UK PLC,yes,Investments,12.0,11.0,0.0909,0.5455,0.7273,0.0,firm-level-complaints-data-2024-h1.xlsx
2024H1,Cofunds Limited,AEGON N.V.,no,Decumulation & pensions,109.0,115.0,0.0261,0.2,0.5652,5.08,firm-level-complaints-data-2024-h1.xlsx
2024H1,Cofunds Limited,AEGON N.V.,no,Investments,962.0,1221.0,0.0377,0.3325,0.62,1.18,firm-level-complaints-data-2024-h1.xlsx
2024H1,Columbia Threadneedle Management Limited,NO GROUP,no,Investments,637.0,640.0,0.2125,0.7547,0.3266,5.18,firm-level-complaints-data-2024-h1.xlsx
2024H1,Compare The Market Limited,NO GROUP,no,Banking and credit cards,0.0,0.0,,,,0.0,firm-level-complaints-data-2024-h1.xlsx
2024H1,Compare The Market Limited,NO GROUP,no,Insurance & pure protection,505.0,506.0,0.1759,0.8241,0.0909,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Complete Cover Group LTD,NO GROUP,no,Insurance & pure protection,900.0,835.0,0.1593,0.8371,0.7317,12.04,firm-level-complaints-data-2024-h1.xlsx
2024H1,Connells Limited,SKIPTON BUILDING SOCIETY,no,Home finance,466.0,484.0,0.0248,0.9401,0.4174,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Connells Limited,SKIPTON BUILDING SOCIETY,no,Insurance & pure protection,106.0,111.0,0.0991,0.8468,0.3153,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Corgi Homeplan LTD,OVO GROUP,no,Insurance & pure protection,1956.0,2128.0,0.0757,0.8999,0.7383,7.58,firm-level-complaints-data-2024-h1.xlsx
2024H1,Coutts & Company,NATWEST GROUP,no,Banking and credit cards,1368.0,1386.0,0.487,0.5022,0.513,4.78,firm-level-complaints-data-2024-h1.xlsx
2024H1,Coutts & Company,NATWEST GROUP,no,Decumulation & pensions,13.0,10.0,0.0,1.0,0.8,2.47,firm-level-complaints-data-2024-h1.xlsx
2024H1,Coutts & Company,NATWEST GROUP,no,Home finance,131.0,129.0,0.1395,0.7132,0.6589,11.06,firm-level-complaints-data-2024-h1.xlsx
2024H1,Coutts & Company,NATWEST GROUP,no,Insurance & pure protection,11.0,11.0,0.6364,0.3636,0.4545,0.74,firm-level-complaints-data-2024-h1.xlsx
2024H1,Coutts & Company,NATWEST GROUP,no,Investments,66.0,56.0,,0.7857,0.7679,1.41,firm-level-complaints-data-2024-h1.xlsx
2024H1,Covea Insurance PLC,COVEA GROUP,yes,Insurance & pure protection,2243.0,2240.0,0.1759,0.7866,0.4063,1.53,firm-level-complaints-data-2024-h1.xlsx
2024H1,Coventry Building Society,NO GROUP,yes,Banking and credit cards,3224.0,3224.0,0.5282,0.4705,0.6563,1.22,firm-level-complaints-data-2024-h1.xlsx
2024H1,Coventry Building Society,NO GROUP,yes,Home finance,738.0,741.0,0.4696,0.5196,0.722,2.09,firm-level-complaints-data-2024-h1.xlsx
2024H1,Coventry Building Society,NO GROUP,yes,Insurance & pure protection,2.0,2.0,0.5,0.5,0.5,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Creation Consumer Finance LTD,BNP PARIBAS GROUP,no,Banking and credit cards,6333.0,4554.0,0.0736,0.7418,0.2934,2.63,firm-level-complaints-data-2024-h1.xlsx
2024H1,Creation Consumer Finance LTD,BNP PARIBAS GROUP,no,Insurance & pure protection,0.0,0.0,,,,0.0,firm-level-complaints-data-2024-h1.xlsx
2024H1,Creation Financial Services Limited,BNP PARIBAS GROUP,no,Banking and credit cards,667.0,713.0,0.0827,0.6704,0.4614,9.05,firm-level-complaints-data-2024-h1.xlsx
2024H1,Creation Financial Services Limited,BNP PARIBAS GROUP,no,Insurance & pure protection,0.0,0.0,,,,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Cynergy Bank PLC,CYNERGY CAPITAL LTD,no,Banking and credit cards,701.0,619.0,0.4023,0.5977,0.8595,4.08,firm-level-complaints-data-2024-h1.xlsx
2024H1,Cynergy Bank PLC,CYNERGY CAPITAL LTD,no,Home finance,3.0,3.0,,1.0,0.3333,1.83,firm-level-complaints-data-2024-h1.xlsx
2024H1,Das Legal Expenses Insurance Company Limited,ERGO GROUP,no,Insurance & pure protection,1947.0,1964.0,0.0891,0.8406,0.6782,0.32,firm-level-complaints-data-2024-h1.xlsx
2024H1,Devitt Insurance Services LTD,NO GROUP,no,Insurance & pure protection,486.0,486.0,0.8601,0.1132,0.2654,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Domestic & General Insurance PLC,CVC CAPITAL PARTNERS ADVISORY GROUP HOLDING FOUNDATION,no,Insurance & pure protection,48821.0,48304.0,0.5382,0.4463,0.5494,4.47,firm-level-complaints-data-2024-h1.xlsx
2024H1,Elavon Financial Services Designated Activity Company,NO GROUP,no,Banking and credit cards,2221.0,2217.0,0.4375,0.5557,0.1768,25.34,firm-level-complaints-data-2024-h1.xlsx
2024H1,Elderbridge Limited,TECH MAHINDRA LIMITED,no,Home finance,974.0,957.0,0.069,0.6531,0.5475,50.08,firm-level-complaints-data-2024-h1.xlsx
2024H1,Embark Investment Services Limited,LLOYDS BANKING GROUP PLC,no,Decumulation & pensions,530.0,,0.2142,0.6151,0.7467,5.17,firm-level-complaints-data-2024-h1.xlsx
2024H1,Embark Investment Services Limited,LLOYDS BANKING GROUP PLC,no,Investments,571.0,,0.1826,0.639,0.7548,1.86,firm-level-complaints-data-2024-h1.xlsx
2024H1,Equiniti Financial Services Limited,EQUINITI GROUP PLC,no,Decumulation & pensions,18.0,19.0,0.1579,0.8421,0.5263,40.09,firm-level-complaints-data-2024-h1.xlsx
2024H1,Equiniti Financial Services Limited,EQUINITI GROUP PLC,no,Investments,3237.0,3045.0,0.4102,0.5829,0.3701,0.51,firm-level-complaints-data-2024-h1.xlsx
2024H1,Ergo Travel Insurance Services LTD,NO GROUP,no,Insurance & pure protection,2921.0,3047.0,0.1726,0.6567,0.4582,1.46,firm-level-complaints-data-2024-h1.xlsx
2024H1,Esure Insurance Limited,ESURE GROUP PLC,yes,Insurance & pure protection,20386.0,23636.0,0.2248,0.4083,0.817,4.82,firm-level-complaints-data-2024-h1.xlsx
2024H1,Eui Limited,ADMIRAL GROUP PLC,yes,Insurance & pure protection,66719.0,66310.0,0.5178,0.4454,0.6421,4.17,firm-level-complaints-data-2024-h1.xlsx
2024H1,Exeter Friendly Society Limited,EXETER FRIENDLY SOCIETY LIMITED,no,Insurance & pure protection,509.0,509.0,0.8566,0.1434,0.1395,1.74,firm-level-complaints-data-2024-h1.xlsx
2024H1,Experian Limited,EXPERIAN PLC,no,Home finance,0.0,0.0,,,,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Experian Limited,EXPERIAN PLC,no,Insurance & pure protection,3.0,3.0,0.0,1.0,0.0,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Experian Limited,EXPERIAN PLC,no,Investments,0.0,0.0,,,,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Extracover Limited,NO GROUP,no,Banking and credit cards,0.0,0.0,,,,0.0,firm-level-complaints-data-2024-h1.xlsx
2024H1,Extracover Limited,NO GROUP,no,Decumulation & pensions,0.0,0.0,,,,0.0,firm-level-complaints-data-2024-h1.xlsx
2024H1,Extracover Limited,NO GROUP,no,Home finance,0.0,0.0,,,,0.0,firm-level-complaints-data-2024-h1.xlsx
2024H1,Extracover Limited,NO GROUP,no,Insurance & pure protection,561.0,557.0,0.4919,0.5081,0.289,0.08,firm-level-complaints-data-2024-h1.xlsx
2024H1,Extracover Limited,NO GROUP,no,Investments,0.0,0.0,,,,0.0,firm-level-complaints-data-2024-h1.xlsx
2024H1,Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,no,Banking and credit cards,480.0,483.0,0.5942,0.4058,0.4803,2.13,firm-level-complaints-data-2024-h1.xlsx
2024H1,Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,no,Decumulation & pensions,0.0,0.0,,,,0.0,firm-level-complaints-data-2024-h1.xlsx
2024H1,Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,no,Home finance,0.0,0.0,,,,0.0,firm-level-complaints-data-2024-h1.xlsx
2024H1,Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,no,Insurance & pure protection,0.0,0.0,,,,0.0,firm-level-complaints-data-2024-h1.xlsx
2024H1,Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,no,Investments,727.0,755.0,0.298,0.702,0.4742,0.68,firm-level-complaints-data-2024-h1.xlsx
2024H1,Fce Bank PLC,FORD MOTOR CO,no,Banking and credit cards,94.0,115.0,0.1391,0.8609,0.3478,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Financial Administration Services Limited,FIDELITY HOLDINGS LIMITED,no,Decumulation & pensions,654.0,725.0,0.0841,0.5228,0.6166,3.9,firm-level-complaints-data-2024-h1.xlsx
2024H1,Financial Administration Services Limited,FIDELITY HOLDINGS LIMITED,no,Investments,1693.0,1938.0,0.1548,0.582,0.5052,1.75,firm-level-complaints-data-2024-h1.xlsx
2024H1,First Central Insurance Management Limited,FIRST CENTRAL GROUP LIMITED,no,Insurance & pure protection,10584.0,10408.0,0.6845,0.2993,0.4416,7.42,firm-level-complaints-data-2024-h1.xlsx
2024H1,Firstrand Bank Limited,FIRSTRAND LIMITED,no,Insurance & pure protection,31.0,22.0,0.3182,0.6364,0.2273,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Fish Administration Limited,PIB GROUP,no,Insurance & pure protection,530.0,481.0,0.5301,0.4012,0.8087,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Forester Life Limited,FORESTER HOLDINGS (EUROPE) LIMITED,no,Decumulation & pensions,39.0,40.0,0.375,0.375,0.475,2.67,firm-level-complaints-data-2024-h1.xlsx
2024H1,Forester Life Limited,FORESTER HOLDINGS (EUROPE) LIMITED,no,Insurance & pure protection,51.0,51.0,0.4314,0.2745,0.3529,1.12,firm-level-complaints-data-2024-h1.xlsx
2024H1,Forester Life Limited,FORESTER HOLDINGS (EUROPE) LIMITED,no,Investments,622.0,626.0,0.3946,0.4489,0.4201,0.52,firm-level-complaints-data-2024-h1.xlsx
